wTask,Description,Actions,Objects
Inventory Task 16710,Track cleaning supplies and dispatch medical kits within the central warehouse.,"dispatch, catalog, configure, log","assets, textbooks, safety gear, medical kits, furniture"
Inventory Task 16711,Label chemicals and track raw materials within the central warehouse.,"inspect, pick, reconcile, dispatch","packaging, safety gear, electronic components, textbooks, medical kits"
Inventory Task 16712,Label furniture and reconcile cleaning supplies within the inventory logbook.,"track, replenish, dispatch, dispose, archive","electronic components, textbooks, chemicals, raw materials, packaging"
Inventory Task 16713,Audit barcodes and configure furniture within the procurement portal.,"archive, pack, inspect, catalog, track","barcodes, office stationery, electronic components, assets, furniture"
Inventory Task 16714,Analyze assets and catalog furniture within the ERP system.,"audit, track, replenish, archive","safety gear, packaging, barcodes, chemicals"
Inventory Task 16715,Archive textbooks and receive medical kits within the departmental storage.,"replenish, audit, dispatch, label","spare parts, barcodes, lab equipment, office stationery"
Inventory Task 16716,Receive raw materials and catalog spare parts within the distribution center.,"dispose, log, inspect, set, receive","raw materials, spare parts, finished goods, barcodes"
Inventory Task 16717,Analyze electronic components and set lab equipment within the central warehouse.,"archive, log, catalog, dispose","chemicals, furniture, raw materials, barcodes"
Inventory Task 16718,Catalog packaging and stock finished goods within the distribution center.,"archive, dispatch, stock, configure","office stationery, assets, raw materials, safety gear"
Inventory Task 16719,Inspect medical kits and audit finished goods within the central warehouse.,"receive, catalog, pack, pick","electronic components, lab equipment, chemicals, textbooks, office stationery"
Inventory Task 16720,Label furniture and pack textbooks within the procurement portal.,"inspect, order, pick, set, label","furniture, spare parts, raw materials, finished goods, lab equipment"
Inventory Task 16721,Pack finished goods and order spare parts within the procurement portal.,"set, receive, replenish, stock, catalog","barcodes, medical kits, safety gear, raw materials, furniture"
Inventory Task 16722,Configure medical kits and audit spare parts within the departmental storage.,"audit, dispose, configure, log, pack","furniture, cleaning supplies, safety gear, spare parts, electronic components"
Inventory Task 16723,Inspect finished goods and replenish raw materials within the ERP system.,"configure, log, dispose, analyze, set","electronic components, medical kits, furniture, chemicals"
Inventory Task 16724,Track electronic components and archive finished goods within the ERP system.,"track, order, dispatch, configure, log","medical kits, packaging, barcodes, cleaning supplies"
Inventory Task 16725,Archive finished goods and order lab equipment within the loading dock.,"archive, stock, catalog, reconcile, audit","assets, cleaning supplies, lab equipment, spare parts, medical kits"
Inventory Task 16726,Log office stationery and alert packaging within the archive room.,"pick, log, stock, pack, inspect","office stationery, chemicals, cleaning supplies, safety gear, packaging"
Inventory Task 16727,Audit electronic components and stock raw materials within the supply room.,"receive, reconcile, dispose, pick","chemicals, furniture, medical kits, electronic components, safety gear"
Inventory Task 16728,Receive packaging and stock cleaning supplies within the procurement portal.,"receive, pack, set, inspect","medical kits, packaging, spare parts, barcodes, finished goods"
Inventory Task 16729,Receive electronic components and set finished goods within the loading dock.,"pick, replenish, catalog, receive, alert","raw materials, furniture, assets, cleaning supplies, packaging"
Inventory Task 16730,Stock chemicals and label furniture within the supply room.,"alert, label, pick, track, replenish","safety gear, lab equipment, packaging, spare parts, textbooks"
Inventory Task 16731,Archive textbooks and receive textbooks within the procurement portal.,"log, archive, inspect, stock, receive","assets, spare parts, textbooks, cleaning supplies"
Inventory Task 16732,Log assets and dispatch spare parts within the loading dock.,"pick, set, archive, inspect","medical kits, raw materials, packaging, chemicals"
Inventory Task 16733,Pack lab equipment and order raw materials within the archive room.,"log, label, configure, receive","office stationery, chemicals, safety gear, packaging"
Inventory Task 16734,Set lab equipment and alert assets within the loading dock.,"pick, analyze, dispatch, audit, log","furniture, lab equipment, spare parts, raw materials"
Inventory Task 16735,Inspect medical kits and pack medical kits within the inventory logbook.,"track, pack, alert, stock, dispose","assets, spare parts, furniture, raw materials, barcodes"
Inventory Task 16736,Analyze textbooks and dispatch furniture within the distribution center.,"pack, dispatch, stock, dispose","spare parts, textbooks, packaging, raw materials"
Inventory Task 16737,Dispatch safety gear and pick packaging within the departmental storage.,"inspect, dispatch, audit, reconcile, stock","furniture, safety gear, lab equipment, barcodes, raw materials"
Inventory Task 16738,Track safety gear and track packaging within the distribution center.,"set, order, dispatch, audit, inspect","assets, textbooks, furniture, packaging"
Inventory Task 16739,Track cleaning supplies and alert electronic components within the procurement portal.,"dispatch, log, order, catalog","textbooks, cleaning supplies, raw materials, medical kits, safety gear"
Inventory Task 16740,Inspect electronic components and pack spare parts within the archive room.,"dispose, alert, catalog, order, stock","furniture, raw materials, cleaning supplies, packaging"
Inventory Task 16741,Archive safety gear and inspect office stationery within the supply room.,"stock, dispose, dispatch, log, alert","chemicals, electronic components, medical kits, barcodes"
Inventory Task 16742,Log cleaning supplies and track cleaning supplies within the archive room.,"audit, log, dispatch, catalog, alert","barcodes, textbooks, chemicals, packaging"
Inventory Task 16743,Stock lab equipment and configure furniture within the procurement portal.,"receive, catalog, dispatch, replenish, track","chemicals, cleaning supplies, spare parts, electronic components"
Inventory Task 16744,Dispatch spare parts and pick assets within the inventory logbook.,"archive, audit, analyze, reconcile","furniture, cleaning supplies, raw materials, office stationery, lab equipment"
Inventory Task 16745,Stock chemicals and receive barcodes within the inventory logbook.,"pick, alert, receive, order","safety gear, lab equipment, finished goods, packaging"
